timestamps,AMK_Torque_FL,AMK_Torque_FR,AMK_Torque_RL,AMK_Torque_RR,DCM_APPS_Throttle,DCM_Brake_Recu,Groundspeed_Vel,Gyro_Mov_Acc_Y,Gyro_Mov_Acc_X,HV_CurrentSensor_W
0,0,0,-0.1,0,0,5,0,0.1,-0.4,120
0.0167,-0.1,0,0,0,0,4.2,0,-0.3,-0.3,121
0.0333,-0.1,0,-0.1,-0.2,0,3.5,0,-0.3,-0.3,121
0.05,-0.1,0,0,0,0,2.8,0,-0.4,-0.4,121
0.0667,0,0,0,0,0,2.3,0,-0.5,-0.5,121
0.0834,-0.1,0,-0.1,-0.1,0,2,0,-0.4,-0.4,121
0.1,-0.1,-0.2,0.1,-0.1,0,1.4,0,-0.3,-0.3,121
0.1167,-0.3,-0.1,0,0,0,0.6,0,-0.4,-0.4,121
0.1334,0,0,-0.1,-0.2,0,0,0,-0.5,-0.5,121
0.15,0,-0.1,-0.1,0,0,0,0,-0.4,-0.4,120
0.1667,0,0,-0.2,0,0,0,0,-0.3,-0.3,120
0.1834,-0.1,0,0,-0.1,0,0,0,-0.3,-0.3,120
0.2,-0.1,0,-0.1,-0.1,0,0,0,-0.4,-0.4,120
0.2167,-0.1,-0.1,0,0,0,0,0,-0.4,-0.4,119
0.2334,0,0,0,0,0,0,0,-0.4,-0.4,120
0.25,0,-0.1,0,0,0,0,0,-0.3,-0.3,120
0.2667,-0.1,-0.1,-0.1,0,0,0,0,-0.4,-0.4,120
0.2834,0,-0.1,0,-0.1,0,0,0,-0.5,-0.5,120
0.3001,0,0,0,0,0,0,0,-0.4,-0.4,120
0.3167,-0.1,-0.2,0,0,0,0,0,-0.3,-0.3,120
0.3334,-0.1,0,-0.2,-0.2,0,0,0,-0.4,-0.4,120
0.3501,0,0,0,0,0,0.3,0,-0.4,-0.4,120
0.3667,0,0,0,-0.1,0,0.6,0,-0.4,-0.4,119
0.3834,-0.2,0,0,0,0,0.9,0,-0.3,-0.3,120
0.4001,-0.1,0,-0.1,0,0,1.1,0,-0.3,-0.3,120
0.4167,0,0,0,0,0,1.3,0,-0.4,-0.4,121
0.4334,0,0,0,0,0,1.4,0,-0.4,-0.4,121
0.4501,-0.1,-0.2,0,0,0,1.7,0,-0.4,-0.4,121
0.4668,-0.1,0,-0.1,0,0,1.6,0,-0.3,-0.3,121
0.4834,-0.1,0,0,0,0,1.6,0,-0.4,-0.4,121
0.5001,0,0,-0.1,-0.1,0,1.8,0,-0.4,-0.4,120
0.5168,0,0,0,-0.2,0,2,0,-0.4,-0.4,120
0.5334,0,-0.1,0,-0.1,0,2.3,0,-0.3,-0.3,120
0.5501,0,-0.2,0,-0.1,0,2.4,0,-0.3,-0.3,120
0.5668,0,0,-0.2,-0.1,0,2.5,0,-0.4,-0.4,120
0.5834,0,0,-0.1,0,0,2.5,0,-0.5,-0.5,120
0.6001,0,0,-0.1,-0.1,0,2.7,0,-0.4,-0.4,120
0.6168,-0.1,-0.2,0,0,0,3.2,0,-0.3,-0.3,121
0.6335,0,0,0,0,0,3.9,0,-0.4,-0.4,121
0.6501,-0.3,-0.1,-0.1,0,0,4.3,0,-0.4,-0.4,120
0.6668,0,-0.2,0,-0.1,0,5,0,-0.4,-0.4,120
0.6835,-0.2,-0.2,0,0,0,5.4,0,-0.4,-0.4,120
0.7001,-0.1,-0.2,0,0,0,5.6,0,-0.4,-0.4,120
0.7168,-0.1,0,0,-0.1,0,5.8,0,-0.4,-0.4,120
0.7335,0,0,0,-0.2,0,6,0,-0.4,-0.4,121
0.7501,0,0,-0.1,-0.1,0,5.9,0,-0.4,-0.4,121
0.7668,-0.1,-0.1,-0.1,0,0,6,0,-0.3,-0.3,121
0.7835,-0.1,0,0,0,0,6,0,-0.4,-0.4,121
0.8002,-0.1,0,0,0,0,5.9,0,-0.4,-0.4,121
0.8168,0,0,0,-0.1,0,6,0,-0.4,-0.4,121
0.8335,0,-0.2,0,0,0,5.9,0,-0.3,-0.3,121
0.8502,0,-0.1,0,0,0,6,0,-0.3,-0.3,120
